明細コード,年月,検索カナ,品名,YJコード,一般名称カナ,一般名称,単位,棚番１,棚番２,理論在庫,単価,在庫金額,不動月数,在庫金額順位,発注点,調整数,自動発注対象外,発注点有効,後発,未処方日数,薬剤備考,薬価,薬価在庫金額,前月末理論在庫,入庫数,入庫金額,処方出庫数,処方出庫金額,処方外出庫数,処方外出庫金額,在庫月数
225600,202606,ﾃﾞｷｽﾄﾛﾒﾄﾙﾌ,デキストロメトルファン臭化水素酸塩錠１５ｍｇ「ＮＰ」,2223001F2137,デキストロメトルファンシュウカスイソサンエンスイワブツジョウ,デキストロメトルファン臭化水素酸塩水和物錠,錠,,,1486,7.62,11317,,104,600,0,0,1,1,2,"",8.6,12780,690,1000,7616,204,1554,0,0,2.95
225640,202606,ｾﾝﾉｼﾄﾞ,センノシド錠１２ｍｇ「サワイ」,2354003F2367,センノシドジョウ,センノシド錠,錠,,,382,4.75,1815,,577,300,0,0,1,1,2,"",5.5,2101,338,700,3325,656,3116,0,0,0.29
225792,202606,ｱｼﾞｽﾛﾏｲｼﾝ,アジスロマイシン錠２５０ｍｇ「サワイ」,6149004F1125,アジスロマイシンスイワブツジョウ,アジスロマイシン水和物錠,錠,,,54,46.85,2530,,443,30,0,0,1,1,10,"",56.3,3040,72,0,0,18,843,0,0,0.9
225808,202606,ﾐﾉｻｲｸﾘﾝｴﾝｻ,ミノサイクリン塩酸塩錠１００ｍｇ「サワイ」,6152005F2113,ミノサイクリンエンサンエンジョウ,ミノサイクリン塩酸塩錠,錠,,,130,25.33,3293,5,374,70,,0,1,0,139,"",28,3640,130,0,0,0,0,0,0,0
225901,202606,ｱﾙﾌｧｶﾙｼﾄﾞｰ,アルファカルシドールカプセル０．５μｇ「トーワ」,3112001M2360,アルファカルシドールカプセル,アルファカルシドールカプセル,カプセル,,,76,5.39,410,,1049,100,0,0,1,1,1,"",6.3,479,192,100,539,216,1164,0,0,0.22
225902,202606,ｱﾙﾌｧｶﾙｼﾄﾞｰ,アルファカルシドールカプセル１μｇ「トーワ」,3112001M3359,アルファカルシドールカプセル,アルファカルシドールカプセル,カプセル,,,201,5.39,1083,,786,200,0,0,1,1,2,"",6.3,1266,281,100,539,180,970,0,0,0.33
225924,202606,ﾌﾟﾚﾄﾞﾆｿﾞﾛﾝ,プレドニゾロン錠２．５ｍｇ「ＮＰ」,2456001F3046,プレドニゾロンジョウ,プレドニゾロン錠,錠,,,93,9.8,911,22,843,0,0,0,0,0,662,"",10.5,977,93,0,0,0,0,0,0,0
226099,202606,ﾘｵﾅ,リオナ錠２５０ｍｇ,2190033F1022,クエンサンダイニテツスイワブツジョウ,クエン酸第二鉄水和物錠,錠,,,115,59.86,6884,11,177,0,0,0,0,0,333,"",68.9,7924,115,0,0,0,0,0,0,0
226105,202606,ｽｰｸﾞﾗ,スーグラ錠２５ｍｇ,3969018F1022,イプラグリフロジン　Ｌ－プロリンジョウ,イプラグリフロジン　Ｌ－プロリン錠,錠,,,70,113.9,7973,22,155,0,0,0,0,0,654,"",97,6790,70,0,0,0,0,0,0,0
226106,202606,ｽｰｸﾞﾗ,スーグラ錠５０ｍｇ,3969018F2029,イプラグリフロジン　Ｌ－プロリンジョウ,イプラグリフロジン　Ｌ－プロリン錠,錠,,,193,116.12,22411,,40,180,0,0,1,0,2,"",145,27985,233,100,11612,140,16257,0,0,1.38
226112,202606,ｻﾞｲｻﾞﾙ,ザイザルシロップ０．０５％,4490028Q1028,レボセチリジンエンサンエンシロップ,レボセチリジン塩酸塩シロップ,ＭＬ,,,465,8.8,4092,14,308,0,0,0,0,0,419,"",7.1,3302,465,0,0,0,0,0,0,0
226117,202606,ｻﾞｸﾗｽ,ザクラス配合錠ＨＤ,2149121F2028,アジルサルタン・アムロジピンベシルサンエンハイゴウザイジョウ,アジルサルタン・アムロジピンベシル酸塩配合剤錠,錠,,,80,52.16,4173,1,303,30,0,0,1,0,20,"",62,4960,80,0,0,0,0,0,0,2.67
226119,202606,ｴﾌｨｴﾝﾄ,エフィエント錠３．７５ｍｇ,3399009F1020,プラスグレルエンサンエンジョウ,プラスグレル塩酸塩錠,錠,,,200,199.27,39854,,18,150,0,0,1,0,11,"",237,47400,220,100,19927,120,23912,0,0,0.74
226121,202606,ﾌｫｼｰｶﾞ,フォシーガ錠５ｍｇ,3969019F1027,ダパグリフロジンプロピレングリコールスイワブツジョウ,ダパグリフロジンプロピレングリコール水和物錠,錠,,,184,83.17,15303,,73,120,0,0,1,0,8,"",96,17664,114,100,8317,30,2495,0,0,0.92
226122,202606,ﾌｫｼｰｶﾞ,フォシーガ錠１０ｍｇ,3969019F2023,ダパグリフロジンプロピレングリコールスイワブツジョウ,ダパグリフロジンプロピレングリコール水和物錠,錠,,,203,121.81,24727,,35,120,0,0,1,0,3,"",140.6,28542,203,300,36543,300,36543,0,0,0.39
